Date,Forecast,Lower95CI,Upper95CI,CI_Width,DerivedConfidence
2025-01-30,216.29773302182312,188.55407657192416,240.87082733539356,52.3167507634694,84.99
2025-01-31,220.70417593470145,193.46379553764734,247.04893840121835,53.58514286357101,84.94
2025-02-01,242.1933517826183,215.1803225590727,267.56255330200804,52.38223074293535,86.22
2025-02-02,272.5228416423849,246.7068037937293,297.85799958787356,51.15119579414426,87.61
2025-02-03,244.88273939975747,218.0999552130417,272.3021799044402,54.2022246913985,85.98
2025-02-04,206.15298854104955,179.11601964329876,231.73126232458452,52.615242681285764,84.34
2025-02-05,214.42642962529433,189.17772310079636,241.69775337310764,52.52003027231129,84.84
2025-02-06,217.5789102386707,190.88965484039483,243.70857862978548,52.81892378939065,84.94
2025-02-07,224.38503275073774,197.1251968259139,252.48346441922223,55.35826759330834,84.75
2025-02-08,248.1286301535434,218.38192379731402,274.5683379210267,56.186414123712666,85.73
2025-02-09,246.36816866147558,219.5446696161992,273.063139280371,53.51846966417179,86.18
2025-02-10,220.9671826330542,196.52476807496762,247.06317711565518,50.538409040687554,85.62
2025-02-11,218.67442186978826,193.14907575924582,243.7719243080286,50.62284854878277,85.49
2025-02-12,228.3543310269866,200.5094227657579,254.1557900600391,53.64636729428119,85.32
2025-02-13,231.45820844682032,204.69051537402217,258.16031991154665,53.46980453752448,85.51
2025-02-14,236.96361062504442,210.21132232156512,264.604625687518,54.3933033659529,85.58
2025-02-15,259.26544278957664,230.61942258854117,284.21846215927667,53.5990395707355,86.69
2025-02-16,257.1090107903558,229.236120992189,284.15324453736116,54.91712354517216,86.35
2025-02-17,232.80056376847207,204.8384875744675,257.6602917431084,52.82180416864091,85.71
2025-02-18,232.4068065955778,207.41681166018603,262.1802062519774,54.763394591791354,85.29
2025-02-19,243.3720073949689,217.3763489738339,268.55601222489884,51.17966325106494,86.51
2025-02-20,280.4440474134249,255.30106400861337,307.17362807936667,51.8725640707533,87.74
2025-02-21,283.85105401706926,256.8679372733922,308.2672195742774,51.399282300885204,87.93
2025-02-22,303.1381844594574,275.7940535119009,328.34123962021755,52.54718610831662,88.3
2025-02-23,263.4636763436073,235.61781249907378,289.0453273414083,53.427514842334546,86.88
2025-02-24,270.7297200925892,243.78496410611913,295.68288975197305,51.89792564585392,87.41
2025-02-25,233.55319023585028,207.40315850908542,259.3859082406086,51.9827497315232,85.92
2025-02-26,242.6383789922926,215.97044609121198,271.6701973456304,55.69975125441843,85.58
2025-02-27,244.28125720302364,217.89046815404453,271.1225378125874,53.232069658542855,86.15
2025-02-28,247.72854221881286,223.39457346067928,273.7816375195441,50.38706405886484,86.85
2025-03-01,267.9075626629073,242.55681097726097,294.62581831880334,52.069007341542374,87.28
2025-03-02,263.354825947837,237.01570685197805,291.9061390066197,54.890432154641644,86.6
2025-03-03,270.2215724796606,244.6699302447997,295.2852638636916,50.615333618891924,87.62
2025-03-04,231.10768115373975,204.42732850634454,257.2320256609328,52.80469715458824,85.63
2025-03-05,237.63137970967512,212.23564156863014,264.08470132685744,51.8490597582273,86.13
2025-03-06,237.36681557790715,208.80399114170703,264.12023449870503,55.316243356998,85.41
2025-03-07,240.58203534138397,211.95526343139804,266.7276011984503,54.77233776705228,85.67
2025-03-08,296.7555576174973,269.78575663462163,323.79539565824604,54.0096390236244,87.88
2025-03-09,260.16500161431264,234.8159485583569,285.7938416056666,50.97789304730972,87.21
2025-03-10,269.73766674039166,241.622493347327,296.4490844945545,54.826591147227475,86.85
2025-03-11,233.28204716492334,205.78633413275597,260.6383057815731,54.85197164881711,85.31
2025-03-12,242.74633752138578,218.15986090063242,270.60099994400775,52.44113904337533,86.24
2025-03-13,245.60205731784973,219.6654131186928,272.89878777127427,53.23337465258146,86.2
2025-03-14,251.52776396853326,225.69842491678165,277.8530314344361,52.15460651765446,86.66
2025-03-15,309.2104097857965,280.71618873089693,335.0962408611765,54.38005213027958,88.18
2025-03-16,272.3435014106198,246.05188425557986,300.0559355537542,54.00405129817432,87.09
2025-03-17,280.7087750369655,256.4953890079935,307.54138624799043,51.04599723999695,87.89
2025-03-18,243.24711569089783,216.8568315531466,269.46835829148483,52.61152673833823,86.22
2025-03-19,252.99987873162743,225.5212180978176,279.1583012446263,53.63708314680866,86.43
2025-03-20,257.20633648104865,229.14290955284855,282.82208682306157,53.67917727021302,86.59
2025-03-21,298.9928712777337,270.43858520029283,325.61515807109004,55.1765728707972,87.76
2025-03-22,287.4759310357081,260.5317600556967,314.1060539381055,53.574293882408824,87.67
2025-03-23,283.18776361150094,255.7899793960404,309.7368059595091,53.94682656346873,87.47
2025-03-24,253.666546231597,227.62957046277754,281.6237090196918,53.99413855691424,86.39
2025-03-25,247.15054085417015,221.73581304208614,274.5779561940745,52.84214315198835,86.34
2025-03-26,253.74857524311662,224.11342713681827,278.27503741589584,54.161610279077564,86.36
2025-03-27,255.48026415772338,229.448273046858,283.4861188282881,54.03784578143012,86.45
2025-03-28,260.9412376383044,234.35290389623447,287.4708406319576,53.11793673572316,86.84
2025-03-29,317.9077038744658,291.51849241700785,341.19359407653803,49.675101659530185,89.13
2025-03-30,279.47009508328085,254.4576146726227,307.0258869265414,52.56827225391868,87.59
