Date,MarketingSpend_lag1,WebSearchInterest_lag2,IsPromo,IsHoliday
2024-12-31,4284.197499999999,49.48333333333333,0,0
2025-01-01,4895.6030769230765,50.7,0,0
2025-01-02,4385.326923076923,53.01538461538462,0,0
2025-01-03,3673.981538461538,46.853846153846156,0,0
2025-01-04,3736.4523076923074,50.5,0,0
2025-01-05,5365.690769230769,47.94615384615384,0,0
2025-01-06,4074.8484615384614,51.5,0,0
2025-01-07,4284.197499999999,49.48333333333333,0,0
2025-01-08,4895.6030769230765,50.7,0,0
2025-01-09,4385.326923076923,53.01538461538462,0,0
2025-01-10,3673.981538461538,46.853846153846156,0,0
2025-01-11,3736.4523076923074,50.5,1,0
2025-01-12,5365.690769230769,47.94615384615384,0,0
2025-01-13,4074.8484615384614,51.5,0,0
2025-01-14,4284.197499999999,49.48333333333333,0,0
2025-01-15,4895.6030769230765,50.7,0,0
2025-01-16,4385.326923076923,53.01538461538462,0,0
2025-01-17,3673.981538461538,46.853846153846156,0,0
2025-01-18,3736.4523076923074,50.5,0,0
2025-01-19,5365.690769230769,47.94615384615384,0,0
2025-01-20,4074.8484615384614,51.5,0,0
2025-01-21,4284.197499999999,49.48333333333333,0,0
2025-01-22,4895.6030769230765,50.7,0,0
2025-01-23,4385.326923076923,53.01538461538462,0,0
2025-01-24,3673.981538461538,46.853846153846156,0,0
2025-01-25,3736.4523076923074,50.5,1,0
2025-01-26,5365.690769230769,47.94615384615384,0,0
2025-01-27,4074.8484615384614,51.5,0,0
2025-01-28,4284.197499999999,49.48333333333333,0,0
2025-01-29,4895.6030769230765,50.7,0,0
