Date,Forecast_Direct,Lower95CI_Direct,Upper95CI_Direct,CI_Width_Direct,DerivedConfidence_Direct,Forecast_Recursive,Lower95CI_Recursive,Upper95CI_Recursive,CI_Width_Recursive,DerivedConfidence_Recursive,Difference,DifferencePercent,ConfidenceDifference
2025-01-30,215.9699290426613,189.66246797325624,244.46820970690797,54.80574173365173,84.41,216.29773302182312,188.55407657192416,240.87082733539356,52.3167507634694,84.99,0.32780397916181414,0.15178223219078887,0.5799999999999983
2025-01-31,220.11685108826308,193.2728981046566,249.29900243606863,56.02610433141203,84.38,220.70417593470145,193.46379553764737,247.04893840121835,53.58514286357101,84.94,0.5873248464383778,0.2668241179785325,0.5600000000000023
2025-02-01,241.34220794892093,213.31270676044377,269.5364100954431,56.22370333499936,85.42,242.1933517826183,215.1803225590727,267.56255330200804,52.38223074293535,86.22,0.851143833697364,0.35267094012726735,0.7999999999999972
2025-02-02,270.524491689746,243.1412471126919,296.6401170321824,53.49886991949049,87.12,272.5228416423849,246.7068037937293,297.85799958787356,51.15119579414426,87.61,1.9983499526388755,0.7386946520652574,0.4899999999999949
2025-02-03,242.61464725082627,215.34739372903593,272.67604774414673,57.3286540151108,85.26,244.88273939975747,218.0999552130417,272.3021799044402,54.2022246913985,85.98,2.2680921489312027,0.9348537586794353,0.7199999999999989
2025-02-04,204.97782785820212,177.72231690406406,233.4226809925731,55.70036408850907,83.54,206.15298854104955,179.11601964329876,231.73126232458452,52.61524268128576,84.34,1.1751606828474337,0.5733111210742153,0.7999999999999972
2025-02-05,213.3236255552878,183.70319656445187,241.7828014348772,58.07960487042533,83.52,214.42642962529433,189.17772310079636,241.69775337310764,52.52003027231129,84.84,1.1028040700065276,0.5169629323221445,1.3200000000000074
2025-02-06,216.5804051222566,188.5999800120347,244.66847190436613,56.068491892331394,84.16,217.5789102386707,190.88965484039483,243.70857862978548,52.81892378939065,84.94,0.9985051164140941,0.4610320660590011,0.7800000000000011
2025-02-07,223.44655964200345,195.09457378801417,250.32623396204625,55.23166017403207,84.73,224.38503275073776,197.1251968259139,252.48346441922223,55.35826759330834,84.75,0.9384731087343141,0.4199989072277039,0.01999999999999602
2025-02-08,247.38908222155135,218.45465915830735,275.15603840934756,56.70137925104018,85.6,248.1286301535434,218.381923797314,274.5683379210267,56.186414123712666,85.73,0.7395479319920639,0.29894121654477684,0.13000000000000966
2025-02-09,245.65778367477947,219.13903395339864,274.7237021412992,55.584668187900576,85.74,246.3681686614756,219.5446696161992,273.063139280371,53.51846966417179,86.18,0.7103849866961411,0.28917666522490615,0.44000000000001194
2025-02-10,220.30664040258324,193.7039197256291,249.3767770097909,55.67285728416181,84.46,220.9671826330542,196.5247680749676,247.0631771156552,50.538409040687554,85.62,0.6605422304709521,0.29982856134699004,1.1600000000000108
2025-02-11,218.54760144830288,190.90894448521792,246.95465970070387,56.04571521548595,84.28,218.67442186978823,193.14907575924585,243.7719243080286,50.62284854878277,85.49,0.12682042148534833,0.05802874094472619,1.2099999999999937
2025-02-12,228.38836616875017,197.34427675315823,256.61698380402163,59.272707050863374,84.13,228.3543310269866,200.5094227657579,254.1557900600391,53.64636729428119,85.32,-0.034035141763553156,-0.014902309751804732,1.1899999999999977
2025-02-13,231.72639054060824,203.56050977187348,259.5735948532685,56.01308508139502,84.99,231.45820844682032,204.69051537402217,258.16031991154665,53.46980453752448,85.51,-0.2681820937879138,-0.11573221900287485,0.5200000000000102
2025-02-14,237.495248429082,210.13739086833291,262.24903154175223,52.11164067341931,86.07,236.9636106250444,210.21132232156512,264.604625687518,54.3933033659529,85.58,-0.5316378040376151,-0.2238519749570343,-0.4899999999999949
2025-02-15,260.2129630651923,230.3645388904464,290.01807781557767,59.65353892513127,85.6,259.26544278957664,230.61942258854117,284.21846215927667,53.5990395707355,86.69,-0.9475202756156591,-0.3641326183193543,1.0900000000000034
2025-02-16,258.2353917618848,229.77320385092003,285.619989273937,55.84678542301694,86.23,257.1090107903558,229.236120992189,284.15324453736116,54.91712354517216,86.35,-1.126380971528988,-0.4361838103770098,0.11999999999999034
2025-02-17,234.03721612735856,202.92274775591235,263.14945638142325,60.226708625510895,84.24,232.80056376847207,204.8384875744675,257.6602917431084,52.82180416864091,85.71,-1.236652358886488,-0.5283998756050514,1.4699999999999989
2025-02-18,234.1881779407096,205.01812911871545,261.6516674835777,56.63353836486226,84.99,232.4068065955778,207.41681166018603,262.1802062519774,54.763394591791354,85.29,-1.7813713451318165,-0.7606581001637126,0.30000000000001137
2025-02-19,245.30279030727695,217.93905739268897,273.9469370898154,56.00787969712641,85.64,243.3720073949689,217.3763489738339,268.55601222489884,51.17966325106494,86.51,-1.9307829123080467,-0.7871018955346835,0.8700000000000045
2025-02-20,281.80255940629496,254.31547000062895,311.29320210594733,56.97773210531835,86.91,280.4440474134249,255.30106400861337,307.17362807936667,51.8725640707533,87.74,-1.358511992870035,-0.4820793663947427,0.8299999999999983
2025-02-21,285.19498752644853,258.1288532052543,312.47960029416816,54.35074708891386,87.47,283.85105401706926,256.8679372733922,308.2672195742774,51.3992823008852,87.93,-1.3439335093792693,-0.47123321522424555,0.46000000000000796
2025-02-22,304.33904400888804,275.4207249758463,330.6231165960086,55.202391620162246,87.91,303.1381844594574,275.7940535119009,328.34123962021755,52.54718610831662,88.3,-1.2008595494306178,-0.3945795234197908,0.39000000000000057
2025-02-23,264.7613618550104,235.9554484599744,292.0520849710453,56.096636511070926,86.44,263.4636763436073,235.61781249907375,289.0453273414083,53.427514842334546,86.88,-1.297685511403131,-0.49013402194001937,0.4399999999999977
2025-02-24,270.53311870234836,242.4317325924632,300.5324315506915,58.10069895822832,86.3,270.7297200925892,243.78496410611913,295.68288975197305,51.89792564585392,87.41,0.19660139024085765,0.0726718381778486,1.1099999999999994
2025-02-25,233.8605521624708,205.82704654306957,261.4283204291525,55.601273886082936,85.19,233.55319023585028,207.40315850908544,259.3859082406086,51.9827497315232,85.92,-0.30736192662052986,-0.1314295736405322,0.730000000000004
2025-02-26,242.56873626443408,215.82294338249324,270.84002689712736,55.01708351463412,85.72,242.6383789922926,215.970446091212,271.6701973456304,55.69975125441843,85.58,0.06964272785850767,0.028710512711162945,-0.14000000000000057
2025-02-27,244.06900708751616,216.16980596784896,269.75719548512956,53.5873895172806,86.07,244.28125720302364,217.89046815404453,271.1225378125874,53.232069658542855,86.15,0.21225011550748718,0.0869631576906364,0.0800000000000125
2025-02-28,247.38167723780137,220.22063961159245,274.21964842233405,53.9990088107416,86.13,247.7285422188129,223.39457346067928,273.7816375195441,50.38706405886484,86.85,0.34686498101152097,0.1402144996689019,0.7199999999999989
2025-03-01,267.4300781141256,239.34289431430096,295.21386535123565,55.87097103693469,86.58,267.9075626629073,242.55681097726097,294.62581831880334,52.069007341542374,87.28,0.4774845487817174,0.1785455668071679,0.7000000000000028
2025-03-02,262.409531909868,232.60707991823517,290.7718536935339,58.16477377529873,85.96,263.354825947837,237.01570685197805,291.9061390066197,54.89043215464165,86.6,0.9452940379690062,0.36023616638045536,0.6400000000000006
2025-03-03,268.09412312082446,238.99472632178072,295.6805156122624,56.685789290481694,86.46,270.2215724796606,244.6699302447997,295.2852638636916,50.61533361889192,87.62,2.127449358836145,0.7935456898759947,1.1600000000000108
2025-03-04,229.90042542343755,202.72412452741568,257.8105264175327,55.086401890117,85.1,231.10768115373975,204.42732850634457,257.2320256609328,52.80469715458824,85.63,1.2072557303021938,0.5251211380225304,0.5300000000000011
2025-03-05,236.4408837453934,210.2558855802349,267.55542165026213,57.29953607002727,84.96,237.63137970967512,212.23564156863017,264.08470132685744,51.8490597582273,86.13,1.1904959642817232,0.503506815497985,1.1700000000000017
2025-03-06,236.3019125226057,207.67271849479536,263.3057552641546,55.63303676935922,85.3,237.36681557790715,208.80399114170703,264.12023449870503,55.316243356998,85.41,1.0649030553014427,0.4506535913879111,0.10999999999999943
2025-03-07,239.5256785816203,211.8605490877911,267.9923984662091,56.131849378418025,85.35,240.58203534138397,211.95526343139804,266.7276011984503,54.77233776705228,85.67,1.0563567597636734,0.4410202555396211,0.3200000000000074
2025-03-08,294.9759305913229,264.6590088954703,323.50563943165713,58.84663053618681,87.04,296.7555576174973,269.78575663462163,323.79539565824604,54.0096390236244,87.88,1.7796270261744098,0.603312623713699,0.8399999999999892
2025-03-09,258.8934442677032,229.83725993325535,285.0415744481218,55.20431451486647,86.37,260.16500161431264,234.8159485583569,285.7938416056666,50.97789304730972,87.21,1.271557346609427,0.49115084787338237,0.8399999999999892
2025-03-10,267.6913053465289,236.56409750364605,295.5342038687844,58.97010636513835,86.03,269.73766674039166,241.622493347327,296.4490844945545,54.826591147227475,86.85,2.046361393862753,0.7644482106782359,0.8199999999999932
2025-03-11,232.62909757508376,203.95421594529313,261.17353671821274,57.219320772919616,84.79,233.28204716492337,205.78633413275597,260.6383057815731,54.85197164881711,85.31,0.6529495898396078,0.28068268185103573,0.519999999999996
2025-03-12,242.4984271382846,216.74402103562008,267.79721835351194,51.05319731789186,86.5,242.74633752138575,218.1598609006324,270.60099994400775,52.44113904337533,86.24,0.2479103831011571,0.1022317488928645,-0.2600000000000051
2025-03-13,245.70928704935184,217.6286640495847,273.52871857555067,55.90005452596597,85.68,245.60205731784973,219.6654131186928,272.89878777127427,53.23337465258146,86.2,-0.10722973150211601,-0.04364089481102048,0.519999999999996
2025-03-14,251.76386832705373,222.73834007279353,280.66818882673203,57.9298487539385,85.56,251.5277639685333,225.69842491678165,277.8530314344361,52.15460651765446,86.66,-0.23610435852043565,-0.09378008055299039,1.0999999999999943
2025-03-15,308.85235623394044,282.4358158256467,336.6892965164262,54.2534806907795,88.19,309.2104097857965,280.71618873089693,335.0962408611765,54.38005213027958,88.18,0.3580535518560737,0.11593032872472754,-0.009999999999990905
2025-03-16,272.71252831104107,244.7521878819098,300.64559608170197,55.89340819979216,86.77,272.3435014106198,246.05188425557984,300.0559355537542,54.00405129817432,87.09,-0.36902690042126096,-0.13531717912144064,0.3200000000000074
2025-03-17,280.5800812635225,252.11017747284217,310.37053479168276,58.26035731884059,86.64,280.7087750369655,256.4953890079935,307.54138624799043,51.04599723999695,87.89,0.12869377344298982,0.045867038338377214,1.25
2025-03-18,244.7577226693313,219.11950559204723,273.3596878081201,54.24018221607287,85.97,243.24711569089783,216.8568315531466,269.46835829148483,52.61152673833823,86.22,-1.510606978433458,-0.6171846027813775,0.25
2025-03-19,255.0524001174685,228.2042964236809,284.6463057491482,56.442009325467325,85.98,252.99987873162743,225.5212180978176,279.1583012446263,53.63708314680866,86.43,-2.052521385841061,-0.8047449798142416,0.45000000000000284
2025-03-20,259.64360671686103,231.38039580684915,290.0411881695092,58.66079236266006,85.76,257.20633648104865,229.14290955284855,282.82208682306157,53.67917727021302,86.59,-2.4372702358123775,-0.9386983437147359,0.8299999999999983
2025-03-21,300.78850743604073,271.09388460927465,327.8240034024615,56.730118793186875,87.56,298.9928712777337,270.43858520029283,325.61515807109004,55.1765728707972,87.76,-1.7956361583070475,-0.5969763185479648,0.20000000000000284
2025-03-22,289.99802564267287,261.65119899306796,316.9418301650437,55.29063117197575,87.46,287.4759310357081,260.5317600556967,314.1060539381055,53.574293882408824,87.67,-2.5220946069647994,-0.8696937164918671,0.21000000000000796
2025-03-23,285.39860567755835,256.29809763802626,313.20884920977136,56.910751571745095,87.04,283.18776361150094,255.7899793960404,309.7368059595091,53.94682656346873,87.47,-2.2108420660574097,-0.7746506191958085,0.4299999999999926
2025-03-24,255.49947593926788,225.80175715519084,285.63930440106964,59.837547245878795,85.36,253.666546231597,227.6295704627775,281.6237090196918,53.99413855691424,86.39,-1.8329297076708713,-0.7173907895241859,1.0300000000000011
2025-03-25,248.97882557896423,218.5818562649688,276.1088881834078,57.52703191843901,85.51,247.15054085417017,221.73581304208616,274.5779561940745,52.84214315198835,86.34,-1.8282847247940595,-0.7343133379084137,0.8299999999999983
2025-03-26,255.01531303086185,228.5244476372937,283.31066871774925,54.78622108045559,86.29,253.74857524311665,224.11342713681827,278.27503741589584,54.16161027907757,86.36,-1.2667377877451997,-0.4967300875739567,0.06999999999999318
2025-03-27,256.0664734071662,227.934063098896,282.8134302715611,54.8793671726651,86.32,255.48026415772335,229.448273046858,283.4861188282881,54.03784578143012,86.45,-0.5862092494428452,-0.2289285440779768,0.13000000000000966
2025-03-28,260.7806314433455,234.68804421817265,292.20167156844644,57.51362735027382,86.02,260.9412376383044,234.3529038962345,287.4708406319576,53.11793673572316,86.84,0.16060619495891615,0.061586703763238555,0.8200000000000074
2025-03-29,316.5009758187956,288.0758711856629,344.9762205291272,56.90034934346431,87.99,317.9077038744658,291.51849241700785,341.19359407653803,49.675101659530185,89.13,1.4067280556702144,0.4444624703070742,1.1400000000000006
