Date,MarketingSpend_lag1,WebSearchInterest_lag2,IsPromo,IsHoliday
2024-12-31,4284.197499999999,49.48333333333333,0,0
2025-01-01,4895.6030769230765,50.7,0,0
2025-01-02,4385.326923076923,53.01538461538462,0,0
2025-01-03,3673.981538461538,46.853846153846156,0,0
2025-01-04,3736.4523076923074,50.5,0,0
2025-01-05,5365.690769230769,47.94615384615384,0,0
2025-01-06,4074.8484615384614,51.5,0,0
2025-01-07,4284.197499999999,49.48333333333333,0,0
2025-01-08,4895.6030769230765,50.7,0,0
2025-01-09,4385.326923076923,53.01538461538462,0,0
2025-01-10,3673.981538461538,46.853846153846156,0,0
2025-01-11,3736.4523076923074,50.5,1,0
2025-01-12,5365.690769230769,47.94615384615384,0,0
2025-01-13,4074.8484615384614,51.5,0,0
2025-01-14,4284.197499999999,49.48333333333333,0,0
2025-01-15,4895.6030769230765,50.7,0,0
2025-01-16,4385.326923076923,53.01538461538462,0,0
2025-01-17,3673.981538461538,46.853846153846156,0,0
2025-01-18,3736.4523076923074,50.5,0,0
2025-01-19,5365.690769230769,47.94615384615384,0,0
2025-01-20,4074.8484615384614,51.5,0,0
2025-01-21,4284.197499999999,49.48333333333333,0,0
2025-01-22,4895.6030769230765,50.7,0,0
2025-01-23,4385.326923076923,53.01538461538462,0,0
2025-01-24,3673.981538461538,46.853846153846156,0,0
2025-01-25,3736.4523076923074,50.5,1,0
2025-01-26,5365.690769230769,47.94615384615384,0,0
2025-01-27,4074.8484615384614,51.5,0,0
2025-01-28,4284.197499999999,49.48333333333333,0,0
2025-01-29,4895.6030769230765,50.7,0,0
2025-01-30,4385.326923076923,53.01538461538462,0,0
2025-01-31,3673.981538461538,46.853846153846156,0,0
2025-02-01,3736.4523076923074,50.5,0,0
2025-02-02,5365.690769230769,47.94615384615384,1,0
2025-02-03,4074.8484615384614,51.5,1,0
2025-02-04,4284.197499999999,49.48333333333333,0,0
2025-02-05,4895.6030769230765,50.7,0,0
2025-02-06,4385.326923076923,53.01538461538462,0,0
2025-02-07,3673.981538461538,46.853846153846156,0,0
2025-02-08,3736.4523076923074,50.5,0,0
2025-02-09,5365.690769230769,47.94615384615384,0,0
2025-02-10,4074.8484615384614,51.5,0,0
2025-02-11,4284.197499999999,49.48333333333333,0,0
2025-02-12,4895.6030769230765,50.7,0,0
2025-02-13,4385.326923076923,53.01538461538462,0,0
2025-02-14,3673.981538461538,46.853846153846156,0,0
2025-02-15,3736.4523076923074,50.5,0,0
2025-02-16,5365.690769230769,47.94615384615384,0,0
2025-02-17,4074.8484615384614,51.5,0,0
2025-02-18,4284.197499999999,49.48333333333333,0,0
2025-02-19,4895.6030769230765,50.7,0,0
2025-02-20,4385.326923076923,53.01538461538462,1,0
2025-02-21,3673.981538461538,46.853846153846156,1,0
2025-02-22,3736.4523076923074,50.5,1,0
2025-02-23,5365.690769230769,47.94615384615384,0,0
2025-02-24,4074.8484615384614,51.5,1,0
2025-02-25,4284.197499999999,49.48333333333333,0,0
2025-02-26,4895.6030769230765,50.7,0,0
2025-02-27,4385.326923076923,53.01538461538462,0,0
2025-02-28,3673.981538461538,46.853846153846156,0,0
2025-03-01,3736.4523076923074,50.5,0,0
2025-03-02,5365.690769230769,47.94615384615384,0,0
2025-03-03,4074.8484615384614,51.5,1,0
2025-03-04,4284.197499999999,49.48333333333333,0,0
2025-03-05,4895.6030769230765,50.7,0,0
2025-03-06,4385.326923076923,53.01538461538462,0,0
2025-03-07,3673.981538461538,46.853846153846156,0,0
2025-03-08,3736.4523076923074,50.5,1,0
2025-03-09,5365.690769230769,47.94615384615384,0,0
2025-03-10,4074.8484615384614,51.5,1,0
2025-03-11,4284.197499999999,49.48333333333333,0,0
2025-03-12,4895.6030769230765,50.7,0,0
2025-03-13,4385.326923076923,53.01538461538462,0,0
2025-03-14,3673.981538461538,46.853846153846156,0,0
2025-03-15,3736.4523076923074,50.5,1,0
2025-03-16,5365.690769230769,47.94615384615384,0,0
2025-03-17,4074.8484615384614,51.5,1,0
2025-03-18,4284.197499999999,49.48333333333333,0,0
2025-03-19,4895.6030769230765,50.7,0,0
2025-03-20,4385.326923076923,53.01538461538462,0,0
2025-03-21,3673.981538461538,46.853846153846156,1,0
2025-03-22,3736.4523076923074,50.5,0,0
2025-03-23,5365.690769230769,47.94615384615384,0,0
2025-03-24,4074.8484615384614,51.5,0,0
2025-03-25,4284.197499999999,49.48333333333333,0,0
2025-03-26,4895.6030769230765,50.7,0,0
2025-03-27,4385.326923076923,53.01538461538462,0,0
2025-03-28,3673.981538461538,46.853846153846156,0,0
2025-03-29,3736.4523076923074,50.5,1,0
2025-03-30,5365.690769230769,47.94615384615384,0,0
